EF2	5/25/2004	00:00:00	0.12
EF2	5/26/2004	00:00:00	0.12
EF2	5/27/2004	00:00:00	0.17
EF2	5/28/2004	00:00:00	0.26
EF2	5/29/2004	00:00:00	0.18
EF2	5/30/2004	00:00:00	0.18
EF2	5/31/2004	00:00:00	0.18
EF2	6/1/2004	00:00:00	0.15
EF2	6/2/2004	00:00:00	0.15
EF2	6/3/2004	00:00:00	0.11
EF2	6/4/2004	00:00:00	0.11
EF2	6/5/2004	00:00:00	0.13
EF2	6/6/2004	00:00:00	0.09
EF2	6/7/2004	00:00:00	0.09
EF2	6/8/2004	00:00:00	0.09
EF2	6/9/2004	00:00:00	0.09
EF2	6/10/2004	00:00:00	0.05
EF2	6/11/2004	00:00:00	0.05
EF2	6/12/2004	00:00:00	0.05
EF2	6/13/2004	00:00:00	0.05
EF2	6/14/2004	00:00:00	0.01
EF2	6/15/2004	00:00:00	0.01
EF2	6/16/2004	00:00:00	0.00
EF2	6/17/2004	00:00:00	0.00
EF2	6/18/2004	00:00:00	0.00
EF2	6/19/2004	00:00:00	0.01
EF2	6/20/2004	00:00:00	0.00
EF2	6/21/2004	00:00:00	0.00
EF2	6/22/2004	00:00:00	0.00
EF2	6/23/2004	00:00:00	0.00
EF2	6/24/2004	00:00:00	0.00
EF2	6/25/2004	00:00:00	0.01
EF2	6/26/2004	00:00:00	0.01
EF2	6/27/2004	00:00:00	0.01
EF2	6/28/2004	00:00:00	0.00
EF2	6/29/2004	00:00:00	0.00
EF2	6/30/2004	00:00:00	0.00
EF2	7/1/2004	00:00:00	0.00
EF2	7/2/2004	00:00:00	0.00
EF2	7/3/2004	00:00:00	0.00
EF2	7/4/2004	00:00:00	0.00
EF2	7/5/2004	00:00:00	0.00
EF2	7/6/2004	00:00:00	0.00
EF2	7/7/2004	00:00:00	0.00
EF2	7/8/2004	00:00:00	0.00
EF2	7/9/2004	00:00:00	0.00
EF2	7/10/2004	00:00:00	0.00
EF2	7/11/2004	00:00:00	0.00
EF2	7/12/2004	00:00:00	0.00
EF2	7/13/2004	00:00:00	0.00
EF2	7/14/2004	00:00:00	0.00
EF2	7/15/2004	00:00:00	0.00
EF2	7/16/2004	00:00:00	0.00
EF2	7/17/2004	00:00:00	0.00
EF2	7/18/2004	00:00:00	0.00
EF2	7/19/2004	00:00:00	0.00
EF2	7/20/2004	00:00:00	0.00
EF2	7/21/2004	00:00:00	0.00
EF2	7/22/2004	00:00:00	0.00
EF2	7/23/2004	00:00:00	0.00
EF2	7/24/2004	00:00:00	0.00
EF2	7/25/2004	00:00:00	0.00
EF2	7/26/2004	00:00:00	0.00
EF2	7/27/2004	00:00:00	0.00
EF2	7/28/2004	00:00:00	0.00
EF2	7/29/2004	00:00:00	0.00
EF2	7/30/2004	00:00:00	0.00
EF2	7/31/2004	00:00:00	0.00
EF2	8/1/2004	00:00:00	0.00
EF2	8/2/2004	00:00:00	0.00
EF2	8/3/2004	00:00:00	0.00
EF2	8/4/2004	00:00:00	0.00
EF2	8/5/2004	00:00:00	0.00
EF2	8/6/2004	00:00:00	0.00
EF2	8/7/2004	00:00:00	0.00
EF2	8/8/2004	00:00:00	0.00
EF2	8/9/2004	00:00:00	0.00
EF2	8/10/2004	00:00:00	0.00
EF2	8/11/2004	00:00:00	0.00
EF2	8/12/2004	00:00:00	0.00
EF2	8/13/2004	00:00:00	0.16
EF2	8/14/2004	00:00:00	0.16
EF2	8/15/2004	00:00:00	0.05
EF2	8/16/2004	00:00:00	0.05
EF2	8/17/2004	00:00:00	0.00
EF2	8/18/2004	00:00:00	0.00
EF2	8/19/2004	00:00:00	0.00
EF2	8/20/2004	00:00:00	0.00
EF2	8/21/2004	00:00:00	0.00
EF2	8/22/2004	00:00:00	0.00
EF2	8/23/2004	00:00:00	0.00
EF2	8/24/2004	00:00:00	0.00
EF2	8/25/2004	00:00:00	0.00
EF2	8/26/2004	00:00:00	0.00
EF2	8/27/2004	00:00:00	0.00
EF2	8/28/2004	00:00:00	0.00
EF2	8/29/2004	00:00:00	0.00
EF2	8/30/2004	00:00:00	0.00
EF2	8/31/2004	00:00:00	0.00
EF2	9/1/2004	00:00:00	0.00
EF2	9/2/2004	00:00:00	0.00
EF2	9/3/2004	00:00:00	0.00
EF2	9/4/2004	00:00:00	0.00
EF2	9/5/2004	00:00:00	0.00
EF2	9/6/2004	00:00:00	0.00
EF2	9/7/2004	00:00:00	0.00
EF2	9/8/2004	00:00:00	0.00
EF2	9/9/2004	00:00:00	0.00
EF2	9/10/2004	00:00:00	0.00
EF2	9/11/2004	00:00:00	0.00
EF2	9/12/2004	00:00:00	0.00
EF2	9/13/2004	00:00:00	0.00
EF2	9/14/2004	00:00:00	0.00
EF2	9/15/2004	00:00:00	0.00
EF2	9/16/2004	00:00:00	0.00
EF2	9/17/2004	00:00:00	0.00
EF2	9/18/2004	00:00:00	0.00
EF2	9/19/2004	00:00:00	0.00
EF2	9/20/2004	00:00:00	0.00
EF2	9/21/2004	00:00:00	0.00
EF2	9/22/2004	00:00:00	0.00
EF2	9/23/2004	00:00:00	0.00
EF2	9/24/2004	00:00:00	0.00
EF2	9/25/2004	00:00:00	0.00
EF2	9/26/2004	00:00:00	0.00
EF2	9/27/2004	00:00:00	0.00
EF2	9/28/2004	00:00:00	0.00
EF2	9/29/2004	00:00:00	0.00
EF2	9/30/2004	00:00:00	0.00
EF2	10/1/2004	00:00:00	0.00
EF2	10/2/2004	00:00:00	0.00
EF2	10/3/2004	00:00:00	0.00
EF2	10/4/2004	00:00:00	0.00
EF2	10/5/2004	00:00:00	0.00
EF2	10/6/2004	00:00:00	0.00
EF2	10/7/2004	00:00:00	0.00
EF2	10/8/2004	00:00:00	0.00
EF2	10/9/2004	00:00:00	0.00
EF2	10/10/2004	00:00:00	0.00
EF2	10/11/2004	00:00:00	0.00
EF2	10/12/2004	00:00:00	0.00
EF2	10/13/2004	00:00:00	0.00
EF2	10/14/2004	00:00:00	0.00
EF2	10/15/2004	00:00:00	0.00
EF2	10/16/2004	00:00:00	0.00
EF2	10/17/2004	00:00:00	0.00
EF2	10/18/2004	00:00:00	0.68
EF2	10/19/2004	00:00:00	0.68
EF2	10/20/2004	00:00:00	0.68
EF2	10/21/2004	00:00:00	0.91
EF2	10/22/2004	00:00:00	1.00
EF2	10/23/2004	00:00:00	0.96
EF2	10/24/2004	00:00:00	0.88
EF2	10/25/2004	00:00:00	0.88
EF2	10/26/2004	00:00:00	0.91
EF2	10/27/2004	00:00:00	0.91
EF2	10/28/2004	00:00:00	0.91
EF2	10/29/2004	00:00:00	0.96
EF2	10/30/2004	00:00:00	0.96
EF2	10/31/2004	00:00:00	0.95
EF2	11/1/2004	00:00:00	0.94
EF2	11/2/2004	00:00:00	0.91
EF2	11/3/2004	00:00:00	0.88
EF2	11/4/2004	00:00:00	0.97
EF2	11/5/2004	00:00:00	1.00
EF2	11/6/2004	00:00:00	1.00
EF2	11/7/2004	00:00:00	0.98
EF2	11/8/2004	00:00:00	0.98
EF2	11/9/2004	00:00:00	0.90
EF2	11/10/2004	00:00:00	0.88
EF2	11/11/2004	00:00:00	0.88
EF2	11/12/2004	00:00:00	0.88
EF2	11/13/2004	00:00:00	0.88
EF2	11/14/2004	00:00:00	0.88
EF2	11/15/2004	00:00:00	0.88
EF2	11/16/2004	00:00:00	0.83
EF2	11/17/2004	00:00:00	0.78
EF2	11/18/2004	00:00:00	0.78
EF2	11/19/2004	00:00:00	0.78
EF2	11/20/2004	00:00:00	0.76
EF2	11/21/2004	00:00:00	0.76
EF2	11/22/2004	00:00:00	0.74
EF2	11/23/2004	00:00:00	0.68
EF2	11/24/2004	00:00:00	0.64
EF2	11/25/2004	00:00:00	0.67
EF2	11/26/2004	00:00:00	0.70
EF2	11/27/2004	00:00:00	0.72
EF2	11/28/2004	00:00:00	0.72
EF2	11/29/2004	00:00:00	1.00
EF2	11/30/2004	00:00:00	1.00
EF2	12/1/2004	00:00:00	1.00
EF2	12/2/2004	00:00:00	1.00
EF2	12/3/2004	00:00:00	1.00
EF2	12/4/2004	00:00:00	1.00
EF2	12/5/2004	00:00:00	1.00
EF2	12/6/2004	00:00:00	1.00
EF2	12/7/2004	00:00:00	1.00
EF2	12/8/2004	00:00:00	1.00
EF2	12/9/2004	00:00:00	1.00
EF2	12/10/2004	00:00:00	1.00
EF2	12/11/2004	00:00:00	0.95
EF2	12/12/2004	00:00:00	0.95
EF2	12/13/2004	00:00:00	0.97
EF2	12/14/2004	00:00:00	0.97
EF2	12/15/2004	00:00:00	0.92
EF2	12/16/2004	00:00:00	0.90
EF2	12/17/2004	00:00:00	0.91
EF2	12/18/2004	00:00:00	0.89
EF2	12/19/2004	00:00:00	0.88
EF2	12/20/2004	00:00:00	0.89
EF2	12/21/2004	00:00:00	0.89
EF2	12/22/2004	00:00:00	0.89
EF2	12/23/2004	00:00:00	0.89
EF2	12/24/2004	00:00:00	0.89
EF2	12/25/2004	00:00:00	0.89
EF2	12/26/2004	00:00:00	0.89
EF2	12/27/2004	00:00:00	0.89
EF2	12/28/2004	00:00:00	0.89
EF2	12/29/2004	00:00:00	0.91
EF2	12/30/2004	00:00:00	0.91
EF2	12/31/2004	00:00:00	0.91
EF2	1/1/2005	00:00:00	1.00
EF2	1/2/2005	00:00:00	1.00
EF2	1/3/2005	00:00:00	1.00
EF2	1/4/2005	00:00:00	1.00
EF2	1/5/2005	00:00:00	1.00
EF2	1/6/2005	00:00:00	1.00
EF2	1/7/2005	00:00:00	1.00
EF2	1/8/2005	00:00:00	1.00
EF2	1/9/2005	00:00:00	1.00
EF2	1/10/2005	00:00:00	1.00
EF2	1/11/2005	00:00:00	1.00
EF2	1/12/2005	00:00:00	1.00
EF2	1/13/2005	00:00:00	1.00
EF2	1/14/2005	00:00:00	1.00
EF2	1/15/2005	00:00:00	1.00
EF2	1/16/2005	00:00:00	1.00
EF2	1/17/2005	00:00:00	1.00
EF2	1/18/2005	00:00:00	1.00
EF2	1/19/2005	00:00:00	1.00
EF2	1/20/2005	00:00:00	1.00
EF2	1/21/2005	00:00:00	1.00
EF2	1/22/2005	00:00:00	1.00
EF2	1/23/2005	00:00:00	1.00
EF2	1/24/2005	00:00:00	1.00
EF2	1/25/2005	00:00:00	1.00
EF2	1/26/2005	00:00:00	1.00
EF2	1/27/2005	00:00:00	1.00
EF2	1/28/2005	00:00:00	1.00
EF2	1/29/2005	00:00:00	1.00
EF2	1/30/2005	00:00:00	1.00
EF2	1/31/2005	00:00:00	1.00
EF2	2/1/2005	00:00:00	1.00
EF2	2/2/2005	00:00:00	1.00
EF2	2/3/2005	00:00:00	1.00
EF2	2/4/2005	00:00:00	1.00
EF2	2/5/2005	00:00:00	1.00
EF2	2/6/2005	00:00:00	1.00
EF2	2/7/2005	00:00:00	1.00
EF2	2/8/2005	00:00:00	1.00
EF2	2/9/2005	00:00:00	1.00
EF2	2/10/2005	00:00:00	1.00
EF2	2/11/2005	00:00:00	1.00
EF2	2/12/2005	00:00:00	1.00
EF2	2/13/2005	00:00:00	1.00
EF2	2/14/2005	00:00:00	1.00
EF2	2/15/2005	00:00:00	1.00
EF2	2/16/2005	00:00:00	1.00
EF2	2/17/2005	00:00:00	1.00
EF2	2/18/2005	00:00:00	1.00
EF2	2/19/2005	00:00:00	1.00
EF2	2/20/2005	00:00:00	1.00
EF2	2/21/2005	00:00:00	1.00
EF2	2/22/2005	00:00:00	1.00
EF2	2/23/2005	00:00:00	1.00
EF2	2/24/2005	00:00:00	1.00
EF2	2/25/2005	00:00:00	1.00
EF2	2/26/2005	00:00:00	1.00
EF2	2/27/2005	00:00:00	1.00
EF2	2/28/2005	00:00:00	0.00
EF2	3/1/2005	00:00:00	0.00
EF2	3/2/2005	00:00:00	1.00
EF2	3/3/2005	00:00:00	1.00
EF2	3/4/2005	00:00:00	1.00
EF2	3/5/2005	00:00:00	1.00
EF2	3/6/2005	00:00:00	1.00
EF2	3/7/2005	00:00:00	1.00
EF2	3/8/2005	00:00:00	1.00
EF2	3/9/2005	00:00:00	1.00
EF2	3/10/2005	00:00:00	1.00
EF2	3/11/2005	00:00:00	1.00
EF2	3/12/2005	00:00:00	1.00
EF2	3/13/2005	00:00:00	1.00
EF2	3/14/2005	00:00:00	1.00
EF2	3/15/2005	00:00:00	1.00
EF2	3/16/2005	00:00:00	0.96
EF2	3/17/2005	00:00:00	0.96
EF2	3/18/2005	00:00:00	0.96
EF2	3/19/2005	00:00:00	1.00
EF2	3/20/2005	00:00:00	1.00
EF2	3/21/2005	00:00:00	1.00
EF2	3/22/2005	00:00:00	1.00
EF2	3/23/2005	00:00:00	1.00
EF2	3/24/2005	00:00:00	1.00
EF2	3/25/2005	00:00:00	1.00
EF2	3/26/2005	00:00:00	1.00
EF2	3/27/2005	00:00:00	1.00
EF2	3/28/2005	00:00:00	1.00
EF2	3/29/2005	00:00:00	1.00
EF2	3/30/2005	00:00:00	1.00
EF2	3/31/2005	00:00:00	1.00
EF2	4/1/2005	00:00:00	1.00
EF2	4/2/2005	00:00:00	1.00
EF2	4/3/2005	00:00:00	0.98
EF2	4/4/2005	00:00:00	0.98
EF2	4/5/2005	00:00:00	0.98
EF2	4/6/2005	00:00:00	0.98
EF2	4/7/2005	00:00:00	0.98
EF2	4/8/2005	00:00:00	0.98
EF2	4/9/2005	00:00:00	0.98
EF2	4/10/2005	00:00:00	0.94
EF2	4/11/2005	00:00:00	0.94
EF2	4/12/2005	00:00:00	0.92
EF2	4/13/2005	00:00:00	0.91
EF2	4/14/2005	00:00:00	0.91
EF2	4/15/2005	00:00:00	0.91
EF2	4/16/2005	00:00:00	0.91
EF2	4/17/2005	00:00:00	0.91
EF2	4/18/2005	00:00:00	0.91
EF2	4/19/2005	00:00:00	0.87
EF2	4/20/2005	00:00:00	0.84
EF2	4/21/2005	00:00:00	0.88
EF2	4/22/2005	00:00:00	0.88
EF2	4/23/2005	00:00:00	0.85
EF2	4/24/2005	00:00:00	0.85
EF2	4/25/2005	00:00:00	0.86
EF2	4/26/2005	00:00:00	0.86
EF2	4/27/2005	00:00:00	0.86
EF2	4/28/2005	00:00:00	0.90
EF2	4/29/2005	00:00:00	0.81
EF2	4/30/2005	00:00:00	0.81
EF2	5/1/2005	00:00:00	0.81
EF2	5/2/2005	00:00:00	0.84
EF2	5/3/2005	00:00:00	0.84
EF2	5/4/2005	00:00:00	0.74
EF2	5/5/2005	00:00:00	0.74
EF2	5/6/2005	00:00:00	0.74
EF2	5/7/2005	00:00:00	0.76
EF2	5/8/2005	00:00:00	0.75
EF2	5/9/2005	00:00:00	0.93
EF2	5/10/2005	00:00:00	0.99
EF2	5/11/2005	00:00:00	0.87
EF2	5/12/2005	00:00:00	0.85
EF2	5/13/2005	00:00:00	0.74
EF2	5/14/2005	00:00:00	0.75
EF2	5/15/2005	00:00:00	0.81
EF2	5/16/2005	00:00:00	0.81
EF2	5/17/2005	00:00:00	0.81
EF2	5/18/2005	00:00:00	0.84
EF2	5/19/2005	00:00:00	0.71
EF2	5/20/2005	00:00:00	0.64
EF2	5/21/2005	00:00:00	0.62
EF2	5/22/2005	00:00:00	0.57
EF2	5/23/2005	00:00:00	0.57
EF2	5/24/2005	00:00:00	0.57
EF2	5/25/2005	00:00:00	0.57
EF2	5/26/2005	00:00:00	0.57
EF2	5/27/2005	00:00:00	0.57
EF2	5/28/2005	00:00:00	0.57
EF2	5/29/2005	00:00:00	0.57
EF2	5/30/2005	00:00:00	0.51
EF2	5/31/2005	00:00:00	0.44
EF2	6/1/2005	00:00:00	0.43
EF2	6/2/2005	00:00:00	0.44
EF2	6/3/2005	00:00:00	0.44
EF2	6/4/2005	00:00:00	0.44
EF2	6/5/2005	00:00:00	0.44
EF2	6/6/2005	00:00:00	0.36
EF2	6/7/2005	00:00:00	0.36
EF2	6/8/2005	00:00:00	0.23
EF2	6/9/2005	00:00:00	0.00
EF2	6/10/2005	00:00:00	0.00
EF2	6/11/2005	00:00:00	0.13
EF2	6/12/2005	00:00:00	0.13
EF2	6/13/2005	00:00:00	0.13
EF2	6/14/2005	00:00:00	0.20
EF2	6/15/2005	00:00:00	0.19
EF2	6/16/2005	00:00:00	0.19
EF2	6/17/2005	00:00:00	0.12
EF2	6/18/2005	00:00:00	0.14
EF2	6/19/2005	00:00:00	0.20
EF2	6/20/2005	00:00:00	0.20
EF2	6/21/2005	00:00:00	0.20
EF2	6/22/2005	00:00:00	0.20
EF2	6/23/2005	00:00:00	0.20
EF2	6/24/2005	00:00:00	0.19
EF2	6/25/2005	00:00:00	0.16
EF2	6/26/2005	00:00:00	0.16
EF2	6/27/2005	00:00:00	0.17
EF2	6/28/2005	00:00:00	0.17
EF2	6/29/2005	00:00:00	0.17
EF2	6/30/2005	00:00:00	0.17
EF2	7/1/2005	00:00:00	0.17
EF2	7/2/2005	00:00:00	0.16
EF2	7/3/2005	00:00:00	0.16
EF2	7/4/2005	00:00:00	0.16
EF2	7/5/2005	00:00:00	0.16
EF2	7/6/2005	00:00:00	0.16
EF2	7/7/2005	00:00:00	0.16
EF2	7/8/2005	00:00:00	0.11
EF2	7/9/2005	00:00:00	0.01
EF2	7/10/2005	00:00:00	0.01
EF2	7/11/2005	00:00:00	0.00
EF2	7/12/2005	00:00:00	0.00
EF2	7/13/2005	00:00:00	0.00
EF2	7/14/2005	00:00:00	0.00
EF2	7/15/2005	00:00:00	0.00
EF2	7/16/2005	00:00:00	0.00
EF2	7/17/2005	00:00:00	0.00
EF2	7/18/2005	00:00:00	0.00
EF2	7/19/2005	00:00:00	0.00
EF2	7/20/2005	00:00:00	0.00
EF2	7/21/2005	00:00:00	0.00
EF2	7/22/2005	00:00:00	0.00
EF2	7/23/2005	00:00:00	0.00
EF2	7/24/2005	00:00:00	0.00
EF2	7/25/2005	00:00:00	0.00
EF2	7/26/2005	00:00:00	0.00
EF2	7/27/2005	00:00:00	0.00
EF2	7/28/2005	00:00:00	0.00
EF2	7/29/2005	00:00:00	0.00
EF2	7/30/2005	00:00:00	0.00
EF2	7/31/2005	00:00:00	0.00
EF2	8/1/2005	00:00:00	0.00
EF2	8/2/2005	00:00:00	0.00
EF2	8/3/2005	00:00:00	0.00
EF2	8/4/2005	00:00:00	0.00
EF2	8/5/2005	00:00:00	0.00
EF2	8/6/2005	00:00:00	0.00
EF2	8/7/2005	00:00:00	0.00
EF2	8/8/2005	00:00:00	0.00
EF2	8/9/2005	00:00:00	0.00
EF2	8/10/2005	00:00:00	0.00
EF2	8/11/2005	00:00:00	0.00
EF2	8/12/2005	00:00:00	0.00
EF2	8/13/2005	00:00:00	0.00
EF2	8/14/2005	00:00:00	0.00
EF2	8/15/2005	00:00:00	0.00
EF2	8/16/2005	00:00:00	0.00
EF2	8/17/2005	00:00:00	0.00
EF2	8/18/2005	00:00:00	0.00
EF2	8/19/2005	00:00:00	0.00
EF2	8/20/2005	00:00:00	0.00
EF2	8/21/2005	00:00:00	0.00
EF2	8/22/2005	00:00:00	0.00
EF2	8/23/2005	00:00:00	0.00
EF2	8/24/2005	00:00:00	0.00
EF2	8/25/2005	00:00:00	0.00
EF2	8/26/2005	00:00:00	0.00
EF2	8/27/2005	00:00:00	0.00
EF2	8/28/2005	00:00:00	0.00
EF2	8/29/2005	00:00:00	0.00
EF2	8/30/2005	00:00:00	0.00
EF2	8/31/2005	00:00:00	0.00
EF2	9/1/2005	00:00:00	0.00
EF2	9/2/2005	00:00:00	0.00
EF2	9/3/2005	00:00:00	0.00
EF2	9/4/2005	00:00:00	0.00
EF2	9/5/2005	00:00:00	0.00
EF2	9/6/2005	00:00:00	0.00
EF2	9/7/2005	00:00:00	0.00
EF2	9/8/2005	00:00:00	0.00
EF2	9/9/2005	00:00:00	0.00
EF2	9/10/2005	00:00:00	0.00
EF2	9/11/2005	00:00:00	0.00
EF2	9/12/2005	00:00:00	0.00
EF2	9/13/2005	00:00:00	0.00
EF2	9/14/2005	00:00:00	0.00
EF2	9/15/2005	00:00:00	0.00
EF2	9/16/2005	00:00:00	0.00
EF2	9/17/2005	00:00:00	0.00
EF2	9/18/2005	00:00:00	0.00
EF2	9/19/2005	00:00:00	0.00
EF2	9/20/2005	00:00:00	0.00
EF2	9/21/2005	00:00:00	0.00
EF2	9/22/2005	00:00:00	0.00
EF2	9/23/2005	00:00:00	0.00
EF2	9/24/2005	00:00:00	0.00
EF2	9/25/2005	00:00:00	0.00
EF2	9/26/2005	00:00:00	0.00
EF2	9/27/2005	00:00:00	0.00
EF2	9/28/2005	00:00:00	0.00
EF2	9/29/2005	00:00:00	0.00
EF2	9/30/2005	00:00:00	0.00
EF2	10/1/2005	00:00:00	0.00
EF2	10/2/2005	00:00:00	0.00
EF2	10/3/2005	00:00:00	0.00
EF2	10/4/2005	00:00:00	0.00
EF2	10/5/2005	00:00:00	0.00
EF2	10/6/2005	00:00:00	0.00
EF2	10/7/2005	00:00:00	0.00
EF2	10/8/2005	00:00:00	0.00
EF2	10/9/2005	00:00:00	0.00
EF2	10/10/2005	00:00:00	0.00
EF2	10/11/2005	00:00:00	0.00
EF2	10/12/2005	00:00:00	0.00
EF2	10/13/2005	00:00:00	0.00
EF2	10/14/2005	00:00:00	0.00
EF2	10/15/2005	00:00:00	0.00
EF2	10/16/2005	00:00:00	0.00
EF2	10/17/2005	00:00:00	0.00
EF2	10/18/2005	00:00:00	0.00
EF2	10/19/2005	00:00:00	0.00
EF2	10/20/2005	00:00:00	0.00
EF2	10/21/2005	00:00:00	0.00
EF2	10/22/2005	00:00:00	0.00
EF2	10/23/2005	00:00:00	0.00
EF2	10/24/2005	00:00:00	0.00
EF2	10/25/2005	00:00:00	0.00
EF2	10/26/2005	00:00:00	0.00
EF2	10/27/2005	00:00:00	0.00
EF2	10/28/2005	00:00:00	0.00
EF2	10/29/2005	00:00:00	0.16
EF2	10/30/2005	00:00:00	0.16
EF2	10/31/2005	00:00:00	0.16
EF2	11/1/2005	00:00:00	0.16
EF2	11/2/2005	00:00:00	0.10
EF2	11/3/2005	00:00:00	0.21
EF2	11/4/2005	00:00:00	0.29
EF2	11/5/2005	00:00:00	0.27
EF2	11/6/2005	00:00:00	0.16
EF2	11/7/2005	00:00:00	0.18
EF2	11/8/2005	00:00:00	0.18
EF2	11/9/2005	00:00:00	0.22
EF2	11/10/2005	00:00:00	0.25
EF2	11/11/2005	00:00:00	0.24
EF2	11/12/2005	00:00:00	0.24
EF2	11/13/2005	00:00:00	0.28
EF2	11/14/2005	00:00:00	0.28
EF2	11/15/2005	00:00:00	0.25
EF2	11/16/2005	00:00:00	0.21
EF2	11/17/2005	00:00:00	0.21
EF2	11/18/2005	00:00:00	0.22
EF2	11/19/2005	00:00:00	0.22
EF2	11/20/2005	00:00:00	0.21
EF2	11/21/2005	00:00:00	0.20
EF2	11/22/2005	00:00:00	0.17
EF2	11/23/2005	00:00:00	0.16
EF2	11/24/2005	00:00:00	0.16
EF2	11/25/2005	00:00:00	0.31
EF2	11/26/2005	00:00:00	0.51
EF2	11/27/2005	00:00:00	0.68
EF2	11/28/2005	00:00:00	0.68
EF2	11/29/2005	00:00:00	0.68
EF2	11/30/2005	00:00:00	0.69
EF2	12/1/2005	00:00:00	0.69
EF2	12/2/2005	00:00:00	1.00
EF2	12/3/2005	00:00:00	1.00
EF2	12/4/2005	00:00:00	1.00
EF2	12/5/2005	00:00:00	0.96
EF2	12/6/2005	00:00:00	0.95
EF2	12/7/2005	00:00:00	0.91
EF2	12/8/2005	00:00:00	0.91
EF2	12/9/2005	00:00:00	0.91
EF2	12/10/2005	00:00:00	0.90
EF2	12/11/2005	00:00:00	0.90
EF2	12/12/2005	00:00:00	0.90
EF2	12/13/2005	00:00:00	0.89
EF2	12/14/2005	00:00:00	0.89
EF2	12/15/2005	00:00:00	0.88
EF2	12/16/2005	00:00:00	0.88
EF2	12/17/2005	00:00:00	0.88
EF2	12/18/2005	00:00:00	0.88
EF2	12/19/2005	00:00:00	0.88
EF2	12/20/2005	00:00:00	0.88
EF2	12/21/2005	00:00:00	0.91
EF2	12/22/2005	00:00:00	0.91
EF2	12/23/2005	00:00:00	0.91
EF2	12/24/2005	00:00:00	0.91
EF2	12/25/2005	00:00:00	0.84
EF2	12/26/2005	00:00:00	0.84
EF2	12/27/2005	00:00:00	0.91
EF2	12/28/2005	00:00:00	0.91
EF2	12/29/2005	00:00:00	0.91
EF2	12/30/2005	00:00:00	0.91
EF2	12/31/2005	00:00:00	0.91
EF2	1/1/2006	00:00:00	0.91
EF2	1/2/2006	00:00:00	0.91
EF2	1/3/2006	00:00:00	0.92
EF2	1/4/2006	00:00:00	1.00
EF2	1/5/2006	00:00:00	1.00
EF2	1/6/2006	00:00:00	1.00
EF2	1/7/2006	00:00:00	1.00
EF2	1/8/2006	00:00:00	1.00
EF2	1/9/2006	00:00:00	1.00
EF2	1/10/2006	00:00:00	1.00
EF2	1/11/2006	00:00:00	0.98
EF2	1/12/2006	00:00:00	0.98
EF2	1/13/2006	00:00:00	0.96
EF2	1/14/2006	00:00:00	0.96
EF2	1/15/2006	00:00:00	1.00
EF2	1/16/2006	00:00:00	1.00
EF2	1/17/2006	00:00:00	1.00
EF2	1/18/2006	00:00:00	1.00
EF2	1/19/2006	00:00:00	1.00
EF2	1/20/2006	00:00:00	1.00
EF2	1/21/2006	00:00:00	1.00
EF2	1/22/2006	00:00:00	1.00
EF2	1/23/2006	00:00:00	1.00
EF2	1/24/2006	00:00:00	1.00
EF2	1/25/2006	00:00:00	1.00
EF2	1/26/2006	00:00:00	1.00
EF2	1/27/2006	00:00:00	1.00
EF2	1/28/2006	00:00:00	1.00
EF2	1/29/2006	00:00:00	1.00
EF2	1/30/2006	00:00:00	1.00
EF2	1/31/2006	00:00:00	1.00
EF2	2/1/2006	00:00:00	1.00
EF2	2/2/2006	00:00:00	1.00
EF2	2/3/2006	00:00:00	1.00
EF2	2/4/2006	00:00:00	1.00
EF2	2/5/2006	00:00:00	1.00
EF2	2/6/2006	00:00:00	0.95
EF2	2/7/2006	00:00:00	0.88
EF2	2/8/2006	00:00:00	0.83
EF2	2/9/2006	00:00:00	0.83
EF2	2/10/2006	00:00:00	0.88
EF2	2/11/2006	00:00:00	0.86
EF2	2/12/2006	00:00:00	0.86
EF2	2/13/2006	00:00:00	0.86
EF2	2/14/2006	00:00:00	0.88
EF2	2/15/2006	00:00:00	0.87
EF2	2/16/2006	00:00:00	1.00
EF2	2/17/2006	00:00:00	1.00
EF2	2/18/2006	00:00:00	1.00
EF2	2/19/2006	00:00:00	1.00
EF2	2/20/2006	00:00:00	1.00
EF2	2/21/2006	00:00:00	1.00
EF2	2/22/2006	00:00:00	1.00
EF2	2/23/2006	00:00:00	1.00
EF2	2/24/2006	00:00:00	0.98
EF2	2/25/2006	00:00:00	0.97
EF2	2/26/2006	00:00:00	0.94
EF2	2/27/2006	00:00:00	0.94
EF2	2/28/2006	00:00:00	0.94
EF2	3/1/2006	00:00:00	1.00
EF2	3/2/2006	00:00:00	1.00
EF2	3/3/2006	00:00:00	1.00
EF2	3/4/2006	00:00:00	1.00
EF2	3/5/2006	00:00:00	1.00
EF2	3/6/2006	00:00:00	1.00
EF2	3/7/2006	00:00:00	1.00
EF2	3/8/2006	00:00:00	1.00
EF2	3/9/2006	00:00:00	1.00
EF2	3/10/2006	00:00:00	1.00
EF2	3/11/2006	00:00:00	1.00
EF2	3/12/2006	00:00:00	1.00
EF2	3/13/2006	00:00:00	1.00
EF2	3/14/2006	00:00:00	1.00
EF2	3/15/2006	00:00:00	1.00
EF2	3/16/2006	00:00:00	1.00
EF2	3/17/2006	00:00:00	1.00
EF2	3/18/2006	00:00:00	1.00
EF2	3/19/2006	00:00:00	1.00
EF2	3/20/2006	00:00:00	1.00
EF2	3/21/2006	00:00:00	1.00
